,filedir,S_id,label
0,./image_patches/low\S01\patch01.png,S01,low
1,./image_patches/low\S01\patch02.png,S01,low
2,./image_patches/low\S01\patch03.png,S01,low
3,./image_patches/low\S01\patch04.png,S01,low
4,./image_patches/low\S01\patch05.png,S01,low
5,./image_patches/low\S01\patch06.png,S01,low
6,./image_patches/low\S01\patch07.png,S01,low
7,./image_patches/low\S01\patch08.png,S01,low
8,./image_patches/low\S01\patch09.png,S01,low
9,./image_patches/low\S01\patch10.png,S01,low
10,./image_patches/low\S01\patch100.png,S01,low
11,./image_patches/low\S01\patch101.png,S01,low
12,./image_patches/low\S01\patch102.png,S01,low
13,./image_patches/low\S01\patch103.png,S01,low
14,./image_patches/low\S01\patch104.png,S01,low
15,./image_patches/low\S01\patch105.png,S01,low
16,./image_patches/low\S01\patch106.png,S01,low
17,./image_patches/low\S01\patch107.png,S01,low
18,./image_patches/low\S01\patch108.png,S01,low
19,./image_patches/low\S01\patch109.png,S01,low
20,./image_patches/low\S01\patch11.png,S01,low
21,./image_patches/low\S01\patch110.png,S01,low
22,./image_patches/low\S01\patch111.png,S01,low
23,./image_patches/low\S01\patch112.png,S01,low
24,./image_patches/low\S01\patch113.png,S01,low
25,./image_patches/low\S01\patch114.png,S01,low
26,./image_patches/low\S01\patch115.png,S01,low
27,./image_patches/low\S01\patch116.png,S01,low
28,./image_patches/low\S01\patch117.png,S01,low
29,./image_patches/low\S01\patch118.png,S01,low
30,./image_patches/low\S01\patch119.png,S01,low
31,./image_patches/low\S01\patch12.png,S01,low
32,./image_patches/low\S01\patch120.png,S01,low
33,./image_patches/low\S01\patch121.png,S01,low
34,./image_patches/low\S01\patch122.png,S01,low
35,./image_patches/low\S01\patch123.png,S01,low
36,./image_patches/low\S01\patch124.png,S01,low
37,./image_patches/low\S01\patch125.png,S01,low
38,./image_patches/low\S01\patch126.png,S01,low
39,./image_patches/low\S01\patch127.png,S01,low
40,./image_patches/low\S01\patch128.png,S01,low
41,./image_patches/low\S01\patch13.png,S01,low
42,./image_patches/low\S01\patch14.png,S01,low
43,./image_patches/low\S01\patch15.png,S01,low
44,./image_patches/low\S01\patch16.png,S01,low
45,./image_patches/low\S01\patch17.png,S01,low
46,./image_patches/low\S01\patch18.png,S01,low
47,./image_patches/low\S01\patch19.png,S01,low
48,./image_patches/low\S01\patch20.png,S01,low
49,./image_patches/low\S01\patch21.png,S01,low
50,./image_patches/low\S01\patch22.png,S01,low
51,./image_patches/low\S01\patch23.png,S01,low
52,./image_patches/low\S01\patch24.png,S01,low
53,./image_patches/low\S01\patch25.png,S01,low
54,./image_patches/low\S01\patch26.png,S01,low
55,./image_patches/low\S01\patch27.png,S01,low
56,./image_patches/low\S01\patch28.png,S01,low
57,./image_patches/low\S01\patch29.png,S01,low
58,./image_patches/low\S01\patch30.png,S01,low
59,./image_patches/low\S01\patch31.png,S01,low
60,./image_patches/low\S01\patch32.png,S01,low
61,./image_patches/low\S01\patch33.png,S01,low
62,./image_patches/low\S01\patch34.png,S01,low
63,./image_patches/low\S01\patch35.png,S01,low
64,./image_patches/low\S01\patch36.png,S01,low
65,./image_patches/low\S01\patch37.png,S01,low
66,./image_patches/low\S01\patch38.png,S01,low
67,./image_patches/low\S01\patch39.png,S01,low
68,./image_patches/low\S01\patch40.png,S01,low
69,./image_patches/low\S01\patch41.png,S01,low
70,./image_patches/low\S01\patch42.png,S01,low
71,./image_patches/low\S01\patch43.png,S01,low
72,./image_patches/low\S01\patch44.png,S01,low
73,./image_patches/low\S01\patch45.png,S01,low
74,./image_patches/low\S01\patch46.png,S01,low
75,./image_patches/low\S01\patch47.png,S01,low
76,./image_patches/low\S01\patch48.png,S01,low
77,./image_patches/low\S01\patch49.png,S01,low
78,./image_patches/low\S01\patch50.png,S01,low
79,./image_patches/low\S01\patch51.png,S01,low
80,./image_patches/low\S01\patch52.png,S01,low
