,filedir,S_id,label
3346,./image_patches/high\S25\patch161.png,S25,high
2657,./image_patches/optimal\S21\patch36.png,S21,optimal
4530,./image_patches/high\S32\patch31.png,S32,high
3048,./image_patches/high\S24\patch08.png,S24,high
3690,./image_patches/high\S26\patch59.png,S26,high
2257,./image_patches/optimal\S18\patch107.png,S18,optimal
2682,./image_patches/optimal\S21\patch61.png,S21,optimal
4467,./image_patches/high\S31\patch96.png,S31,high
563,./image_patches/low\S05\patch23.png,S05,low
1147,./image_patches/low\S09\patch95.png,S09,low
1335,./image_patches/low\S10\patch55.png,S10,low
3265,./image_patches/high\S24\patch96.png,S24,high
2951,./image_patches/optimal\S23\patch195.png,S23,optimal
1159,./image_patches/low\S10\patch08.png,S10,low
3273,./image_patches/high\S25\patch05.png,S25,high
3181,./image_patches/high\S24\patch219.png,S24,high
1855,./image_patches/low\S14\patch68.png,S14,low
2105,./image_patches/optimal\S16\patch90.png,S16,optimal
1868,./image_patches/low\S14\patch81.png,S14,low
3242,./image_patches/high\S24\patch73.png,S24,high
957,./image_patches/low\S08\patch33.png,S08,low
1746,./image_patches/low\S13\patch86.png,S13,low
767,./image_patches/low\S06\patch99.png,S06,low
1142,./image_patches/low\S09\patch90.png,S09,low
1479,./image_patches/low\S11\patch71.png,S11,low
1440,./image_patches/low\S11\patch32.png,S11,low
2212,./image_patches/optimal\S17\patch72.png,S17,optimal
924,./image_patches/low\S08\patch117.png,S08,low
1099,./image_patches/low\S09\patch47.png,S09,low
85,./image_patches/low\S01\patch57.png,S01,low
2748,./image_patches/optimal\S22\patch118.png,S22,optimal
2489,./image_patches/optimal\S20\patch01.png,S20,optimal
1569,./image_patches/low\S12\patch35.png,S12,low
3593,./image_patches/high\S26\patch179.png,S26,high
4504,./image_patches/high\S32\patch121.png,S32,high
1382,./image_patches/low\S11\patch03.png,S11,low
1098,./image_patches/low\S09\patch46.png,S09,low
1603,./image_patches/low\S12\patch69.png,S12,low
