,batch_name,S_id,feature,CHIR_conc,label_24,delta_CHIR_conc_24,label_36,delta_CHIR_conc_36,label_48,delta_CHIR_conc_48
0,CD01-1,1,"[5.455338259759867, 5.7414706257300425, 5.804472413793131, 0.5117421965359691, 0.47080465836735197, 0.44696944121001764, 2.513503575303653, 2.54412307861009, 2.5462378308041775, 0.9280849639729476, 0.8939873763227612, 0.8667768480534974, 1.0936658089659774, 1.2287309947361071, 1.34889065473161, 0.8506545117829466, 0.7282390391807062, 0.6428789468450671, 1.1982692, 0.93506086, 0.964245]",4,low,-2,optimal,0,optimal,0
1,CD01-1,2,"[5.237066656750007, 5.487482317753688, 5.500610964504943, 0.5304229010859673, 0.49918387912579143, 0.48431678713704285, 2.419236930010882, 2.45163382663294, 2.4589572142559804, 0.9234136715212011, 0.9255962857469333, 0.9454450986804085, 1.1656246676170523, 1.3491039719121538, 1.482551603682262, 0.7932148328977928, 0.6865138342843657, 0.6378763133294396, 1.1019382, 0.8374354, 0.8375789]",4,low,-2,optimal,0,optimal,0
2,CD01-1,3,"[5.254863889958337, 5.508179838042186, 5.559307276991309, 0.512855794910201, 0.47906066904433714, 0.46051085231212213, 2.4299713686787814, 2.464136653970543, 2.473498394888777, 0.9488664795279929, 0.9476866011487326, 0.9618269073568902, 1.1241401947055234, 1.249870634053847, 1.3293753807857671, 0.8444234048672713, 0.7584363497849057, 0.7237326558853243, 1.1869962, 0.9647474, 0.9409672]",4,low,-2,optimal,0,optimal,0
3,CD01-1,4,"[5.082029808865771, 5.423085463008182, 5.671747410561715, 0.5227302269128583, 0.49510211868738124, 0.46948412074041507, 2.5889946696444883, 2.6235789966816223, 2.645750744838813, 0.9840878912808527, 0.9647723276335629, 0.9328529653965797, 1.1182341655976722, 1.309821286645197, 1.5102050582667, 0.880589732637913, 0.738986737842673, 0.6185511058155793, 0.9501783, 0.92254215, 0.91566026]",4,low,-2,optimal,0,optimal,0
4,CD01-1,5,"[4.910609109618155, 5.303015952970745, 5.612146841945399, 0.5276308137785051, 0.5010216724361457, 0.471934141859917, 2.5532273130832617, 2.5953128776569496, 2.623709785121026, 0.9782029078396942, 0.9630099666962493, 0.9126210211457334, 0.9670489823176716, 1.1073142547896098, 1.2645062744689888, 1.011937434812336, 0.8723643517709213, 0.7225880652909749, 0.89517975, 0.89390737, 0.842986]",4,low,-2,optimal,0,optimal,0
5,CD01-1,6,"[4.862419025915603, 5.291853964338873, 5.580933449366801, 0.5217236048770817, 0.4952381796826471, 0.4709410547103521, 2.538524397409119, 2.5832113971963526, 2.605277927337635, 0.9647018162947854, 0.938769592894505, 0.8843611796393147, 1.0945626685740384, 1.259210060100722, 1.5053893584922302, 0.881824226123018, 0.7488706588210411, 0.5889530052420006, 0.87399334, 0.874087, 0.87208295]",4,low,-2,optimal,0,optimal,0
6,CD01-1,7,"[4.9720677348482205, 5.397137399205299, 5.657055271890596, 0.5226781425685962, 0.4905509151485988, 0.46162466797931323, 2.553459791027466, 2.597081779512518, 2.613763894205399, 0.9634590793177141, 0.9420065318424539, 0.8929801373159032, 1.1043398824361212, 1.277308589222163, 1.4546792054411448, 0.8729432594304669, 0.7397444088001949, 0.6149273801473635, 0.837568, 0.8492758, 0.8328979]",4,low,-2,optimal,0,optimal,0
7,CD01-1,8,"[4.9872984709881285, 5.39025750033032, 5.634854563420787, 0.5186678948789357, 0.48925795645638637, 0.4619915574298543, 2.541958835210748, 2.5834399620854636, 2.598456541439776, 0.9598005969760323, 0.9377250170557335, 0.885771471993488, 1.0546714950710918, 1.2015677710414747, 1.3667017949157105, 0.9104180877707775, 0.7825677989550976, 0.6490983155859699, 0.7987331, 0.80580896, 0.7882759]",4,low,-2,optimal,0,optimal,0
8,CD01-1,9,"[5.026322333823357, 5.431606895292, 5.693541384655575, 0.5241682364659974, 0.4906468525823578, 0.46257026966456777, 2.571592647256055, 2.614608391838234, 2.6333200278191624, 0.960229549476269, 0.9383146427471325, 0.8954067120710192, 1.0146128032155874, 1.1675365163960623, 1.33579835657417, 0.9468723305146896, 0.8058966380679593, 0.671627899695945, 0.7449221, 0.746555, 0.71508086]",4,low,-2,optimal,0,optimal,0
9,CD01-1,10,"[5.162690523083844, 5.513662207335881, 5.685153456143165, 0.5246440766399143, 0.4953394393202451, 0.4732217659487163, 2.584436600923384, 2.624251845016653, 2.6342509870796404, 0.9700406457596877, 0.9479507340787225, 0.9210721277744097, 1.1099942148806359, 1.2320602240281122, 1.4229748497550974, 0.8743623690616364, 0.7706818218605616, 0.6490861724409311, 0.7051714, 0.68245965, 0.6927824]",4,low,-2,optimal,0,optimal,0
