,batch_name,S_id,feature,CHIR_conc,label_24,delta_CHIR_conc_24,label_36,delta_CHIR_conc_36,label_48,delta_CHIR_conc_48
105,CD01-3,10,"[4.745773110762957, 5.011450635868556, 5.069364942640987, 0.5298156696909896, 0.5002031379719695, 0.4781220331933838, 2.493647778828301, 2.533432560238924, 2.550879974427234, 0.8990586593755617, 0.8789051222933804, 0.8931926661110691, 1.3042067597048965, 1.7321096167261123, 1.860088367108728, 0.715444819741216, 0.5081664274676029, 0.48043076521985967, 1.243546, 0.94463, 0.98904616]",8,optimal,0,optimal,0,optimal,0
5,CD01-1,6,"[4.862419025915603, 5.291853964338873, 5.580933449366801, 0.5217236048770817, 0.4952381796826471, 0.4709410547103521, 2.538524397409119, 2.5832113971963526, 2.605277927337635, 0.9647018162947854, 0.938769592894505, 0.8843611796393147, 1.0945626685740384, 1.259210060100722, 1.5053893584922302, 0.881824226123018, 0.7488706588210411, 0.5889530052420006, 0.87399334, 0.874087, 0.87208295]",4,low,-2,optimal,0,optimal,0
171,CD01-3,76,"[4.768596097966914, 4.984262302882079, 5.017374492738947, 0.5581409286138083, 0.5342694913018042, 0.518930452830121, 2.470382486335157, 2.512378883401, 2.5289086940335763, 0.8919501174915258, 0.9094458582230438, 0.9414991122126218, 1.383555106842769, 1.6058046323300195, 1.7087363481112074, 0.6485841012459223, 0.566524437807328, 0.551049076133154, 1.0026345, 0.7983975, 0.8758604]",8,optimal,0,optimal,0,optimal,0
190,CD01-3,95,"[4.811991832527234, 5.131142828764627, 5.207182715227559, 0.5379589488878986, 0.504922836587309, 0.48349080236526926, 2.510506933913417, 2.5593591420964885, 2.5816723814153106, 0.9017396694511425, 0.8776168750239216, 0.903663983857695, 1.3477238288226665, 1.6546560007485664, 1.8282405965435273, 0.6749486049479513, 0.5311925437567279, 0.49436209687253163, 0.88495356, 0.7673429, 0.76254404]",4,low,-2,low,-2,low,-2
19,CD01-1,20,"[4.850729926231816, 5.264420744842791, 5.6179856167273945, 0.5425165842913898, 0.5224175020013697, 0.4959107043376653, 2.5192575635962324, 2.5643981896920587, 2.604315099493974, 0.9323886805966511, 0.9109617116973892, 0.8598558253774873, 1.0140120807290842, 1.168358776488026, 1.2860450379659314, 0.9196390540418562, 0.7822076269220127, 0.6692540142514228, 0.9818031, 0.9341893, 0.9057927]",4,low,-2,optimal,0,optimal,0
29,CD01-1,30,"[4.950366424833375, 5.39520176560804, 5.676072231498346, 0.5507915969508432, 0.5346098949974948, 0.5141205630746507, 2.5423690875689124, 2.5913142272595557, 2.625233846144598, 0.9392113703210776, 0.91340031029661, 0.8919280261886037, 1.1853814382640844, 1.468072803750184, 1.7533916567932526, 0.7954678770713719, 0.6240858975795293, 0.5096830042377295, 1.0255206, 0.9254877, 0.958706]",6,optimal,0,optimal,0,optimal,0
78,CD01-1,79,"[5.065868521617355, 5.510323712216291, 5.668141726838002, 0.5512489107129438, 0.5276891163631193, 0.507907474810543, 2.535957935820447, 2.5888246915355153, 2.6059931433595804, 0.938461682348402, 0.9193312215895925, 0.9125994660895386, 1.1202116927975858, 1.4695334678593162, 1.8262302257412901, 0.8460666431893569, 0.6285417416616472, 0.5008854414965422, 1.0623673, 0.95393187, 0.9791684]",10,high,2,high,4,high,4
344,CD01-4,57,"[4.013458405203182, 4.295440827349741, 4.549014376838901, 0.57617248810325, 0.5659478450217571, 0.5547995764906127, 2.491198154151917, 2.525925707330339, 2.5584435135538723, 0.9706241085697609, 0.95442110578499, 0.93979567895771, 0.9736649474912294, 0.7478464838175899, 0.7227050863083386, 1.0085355423903926, 1.2766160401239315, 1.3007442061323313, 0.9608365, 0.9051983, 0.8853272]",10,optimal,0,optimal,0,optimal,0
248,CD01-2,57,"[4.369034498789933, 4.634025035430149, 4.775755820508892, 0.5745459944188428, 0.5625925002300393, 0.5540593445034835, 2.501239077328865, 2.5236994125442496, 2.535983611289817, 0.9586222536004497, 0.9190751311072032, 0.8841361129904226, 0.9684400715041076, 0.9645670342955157, 1.0438244256645155, 0.9902531683167775, 0.953649553500418, 0.8475239446205817, 0.9602636, 0.94955134, 0.941127]",8,optimal,0,optimal,0,high,4
147,CD01-3,52,"[4.7531920450640435, 5.090778134716856, 5.160188377456529, 0.5458112763768883, 0.5189308509953415, 0.5016630298514303, 2.4927263446448373, 2.5428448058987763, 2.5632251025891026, 0.8838664319297234, 0.8673198648040897, 0.8897810382040391, 1.2560631587339963, 1.6066351751620076, 1.7613179607635472, 0.7163640334304764, 0.540452063814105, 0.5052507999449211, 1.1301743, 0.8528037, 0.9069419]",8,optimal,0,optimal,0,optimal,0
188,CD01-3,93,"[4.860252701898075, 5.026720969287844, 5.01028118253232, 0.5318987389105732, 0.5078045798745463, 0.4916062177039682, 2.487038145066108, 2.5213324556184404, 2.5317172588321957, 0.8680774835599276, 0.8909734944641522, 0.92379596627635, 1.44063905359328, 1.76017217871092, 1.8976998038178254, 0.6073872098256844, 0.506395290331432, 0.4868100678133606, 0.88925266, 0.81793493, 0.86969024]",8,optimal,0,optimal,0,optimal,0
