Batch_ID,S_id,accuracy,F1 score,precision,recall,specificity,IoU
CD02-1,S22~Z1.png,0.737380224811144,0.586287229762951,0.467064406959917,0.78723737974325,0.721947198125847,0.414714531909225
CD02-1,S26~Z2.png,0.651604266206095,0.733129991144028,0.906038803861954,0.615640843025378,0.777139375241383,0.578693935462305
CD02-1,S3~Z2.png,0.844477125435821,0.629664129243427,0.760266010945287,0.537354909438683,0.9447036310451,0.459496202851192
CD02-1,S46~Z1.png,0.796620392602337,0.841860901571839,0.910834627251768,0.782598003157132,0.828086105239646,0.726908281323394
CD02-1,S51~Z1.png,0.783221032008652,0.82649122930972,0.858510990977692,0.796774061087798,0.758272153982452,0.704290628201749
CD02-1,S9~Z3.png,0.759287306099884,0.738843448521848,0.748727366704175,0.729217084743419,0.785627954323885,0.585845942484998
CD02-2,S12~Z1.png,0.705570063315147,0.683863874395174,0.591251774130635,0.810877573910366,0.637466704405308,0.519599653174862
CD02-2,S14~Z1.png,0.680675033695442,0.677349475791855,0.636515245817509,0.723782119323959,0.643493158246064,0.512115228773206
CD02-2,S17~Z1.png,0.319789539683949,0.47971178540166,0.996509524469796,0.315889161884792,0.849679857791278,0.315540027736386
CD02-2,S30~Z1.png,0.840238082507425,0.841400480096645,0.865892144792938,0.818256193088946,0.863853321785378,0.726222016876747
CD02-2,S33~Z1.png,0.668581623676395,0.740806679911191,0.869294249496924,0.645410624366527,0.732461854646376,0.588318463966235
CD02-2,S38~Z1.png,0.837467162077092,0.838751601084046,0.954260363384606,0.748187051226823,0.953422816535086,0.722284398296725
CD02-2,S41~Z1.png,0.77974303694796,0.808907885952557,0.895981804838276,0.73725906895505,0.852804611782847,0.679131258122272
CD02-2,S42~Z1.png,0.814070520322185,0.743600596830122,0.764634501365832,0.723692931141983,0.867732848511549,0.591850485565362
CD02-2,S45~Z1.png,0.848485394942859,0.827978817792035,0.88246033160556,0.779833311622797,0.908777850387224,0.706453799949426
CD02-2,S47~Z1.png,0.74050197128422,0.781993649389157,0.825403559653562,0.742921656006593,0.736443898885182,0.642027563318516
CD02-2,S4~Z3.png,0.79845497824929,0.485192988649735,0.448192158781054,0.528852817941349,0.857470830799036,0.320300199968869
CD02-2,S53~Z1.png,0.873196310248257,0.744219706479754,0.861885506927878,0.654822441821115,0.958844316351948,0.592635280486471
CD02-2,S67~Z1.png,0.943483336897921,0.666603682491317,0.648281130855144,0.685992068960238,0.966594729552824,0.499929146149735
CD02-2,S88~Z1.png,0.545535757521952,0.705950353936349,1,0.545535757521952,NaN,0.545535757521952
CD02-2,S8~Z3.png,0.637841469000194,0.641904191651112,0.786267815266489,0.542329202832777,0.780228036561234,0.47265015303413
CD02-3,S34~Z1.png,0.681808093362603,0.802839554985318,0.995719822109891,0.67255863945596,0.924228231443071,0.670619847430285
CD02-3,S56~Z1.png,0.749721180308949,0.785601096346552,0.778603200856177,0.792725923419574,0.690715083972681,0.646905307624305
CD02-4,S40~Z2.png,0.663398427411544,0.784853025999781,0.967939497382136,0.660011384730552,0.708553448434781,0.645891437655541
CD02-4,S57~Z2.png,0.711191855186273,0.805780732018342,0.8744974356841,0.747076569865039,0.56590058390545,0.674734325280303
CD02-4,S5~Z3.png,0.587971710961712,0.544748879506722,0.444128692137942,0.704316207721009,0.525323201853808,0.374333248630018
CD02-4,S63~Z1.png,0.519914737417678,0.642324885846229,0.801343662296721,0.535967417759272,0.453942031170763,0.473106473816886
CD02-5,S13~Z2.png,0.690332838326446,0.816801073343551,1,0.690332838326446,NaN,0.690332838326446
CD02-5,S23~Z2.png,0.703336227038675,0.825833697274737,1,0.703336227038675,NaN,0.703336227038675
CD02-5,S39~Z2.png,0.79188398881392,0.883856314088818,1,0.79188398881392,NaN,0.79188398881392
CD02-5,S6~Z2.png,0.738014284244254,0.828998220354532,0.930883718144521,0.747215286621936,0.685926518283069,0.707939334307005
CD02-6,S47~Z2.png,0.694045137767949,0.75369221379328,0.857311818346217,0.672419724116268,0.743591063159917,0.604740034632399
CD02-6,S5~Z1.png,0.578306592200413,0.72650778339798,0.985825918422067,0.575202685044238,0.693383588610938,0.570484667221976
