Sun Feb  6 15:26:08 2022 Epoch 1, lr: 0.0000300, train loss: 0.56865, valid loss: 0.71013, acc: 0.8627, auc: 0.970848.
Sun Feb  6 15:48:46 2022 Epoch 2, lr: 0.0003000, train loss: 0.34449, valid loss: 0.14567, acc: 0.9396, auc: 0.999856.
Sun Feb  6 16:11:24 2022 Epoch 3, lr: 0.0003000, train loss: 0.18016, valid loss: 0.07665, acc: 0.9866, auc: 0.998233.
Sun Feb  6 16:34:00 2022 Epoch 4, lr: 0.0003000, train loss: 0.16090, valid loss: 0.01161, acc: 0.9974, auc: 1.000000.
Sun Feb  6 16:56:37 2022 Epoch 5, lr: 0.0002999, train loss: 0.12360, valid loss: 0.00384, acc: 1.0000, auc: 1.000000.
Sun Feb  6 17:19:15 2022 Epoch 6, lr: 0.0002999, train loss: 0.14248, valid loss: 0.00705, acc: 0.9964, auc: 1.000000.
Sun Feb  6 17:41:52 2022 Epoch 7, lr: 0.0002998, train loss: 0.10583, valid loss: 0.01303, acc: 0.9959, auc: 1.000000.
Sun Feb  6 18:04:28 2022 Epoch 8, lr: 0.0002997, train loss: 0.09577, valid loss: 0.00358, acc: 0.9995, auc: 1.000000.
Sun Feb  6 18:27:05 2022 Epoch 9, lr: 0.0002996, train loss: 0.09651, valid loss: 0.00352, acc: 1.0000, auc: 1.000000.
Sun Feb  6 18:49:42 2022 Epoch 10, lr: 0.0002995, train loss: 0.08144, valid loss: 0.00866, acc: 0.9985, auc: 1.000000.
Sun Feb  6 19:12:21 2022 Epoch 11, lr: 0.0002993, train loss: 0.08144, valid loss: 0.01387, acc: 0.9938, auc: 1.000000.
Sun Feb  6 19:35:01 2022 Epoch 12, lr: 0.0002992, train loss: 0.07078, valid loss: 0.00507, acc: 0.9990, auc: 1.000000.
Sun Feb  6 19:57:38 2022 Epoch 13, lr: 0.0002990, train loss: 0.06390, valid loss: 0.00279, acc: 1.0000, auc: 1.000000.
Sun Feb  6 20:20:15 2022 Epoch 14, lr: 0.0002988, train loss: 0.06811, valid loss: 0.01064, acc: 0.9954, auc: 1.000000.
Sun Feb  6 20:42:53 2022 Epoch 15, lr: 0.0002986, train loss: 0.06951, valid loss: 0.00110, acc: 1.0000, auc: 1.000000.
Sun Feb  6 21:05:30 2022 Epoch 16, lr: 0.0002984, train loss: 0.05668, valid loss: 0.00502, acc: 1.0000, auc: 1.000000.
Sun Feb  6 21:28:07 2022 Epoch 17, lr: 0.0002981, train loss: 0.06463, valid loss: 0.00102, acc: 1.0000, auc: 1.000000.
Sun Feb  6 21:50:45 2022 Epoch 18, lr: 0.0002979, train loss: 0.04675, valid loss: 0.00421, acc: 0.9990, auc: 1.000000.
Sun Feb  6 22:13:22 2022 Epoch 19, lr: 0.0002976, train loss: 0.04760, valid loss: 0.00110, acc: 1.0000, auc: 1.000000.
Sun Feb  6 22:35:59 2022 Epoch 20, lr: 0.0002973, train loss: 0.07051, valid loss: 0.00060, acc: 1.0000, auc: 1.000000.
Sun Feb  6 22:58:37 2022 Epoch 21, lr: 0.0002970, train loss: 0.04489, valid loss: 0.00057, acc: 1.0000, auc: 1.000000.
Sun Feb  6 23:21:14 2022 Epoch 22, lr: 0.0002967, train loss: 0.04247, valid loss: 0.00044, acc: 1.0000, auc: 1.000000.
Sun Feb  6 23:43:51 2022 Epoch 23, lr: 0.0002964, train loss: 0.04090, valid loss: 0.00054, acc: 1.0000, auc: 1.000000.
Mon Feb  7 00:06:29 2022 Epoch 24, lr: 0.0002960, train loss: 0.04303, valid loss: 0.00077, acc: 1.0000, auc: 1.000000.
Mon Feb  7 00:29:06 2022 Epoch 25, lr: 0.0002956, train loss: 0.02902, valid loss: 0.00024, acc: 1.0000, auc: 1.000000.
Mon Feb  7 00:51:43 2022 Epoch 26, lr: 0.0002953, train loss: 0.02860, valid loss: 0.01406, acc: 0.9990, auc: 1.000000.
Mon Feb  7 01:14:20 2022 Epoch 27, lr: 0.0002949, train loss: 0.03460, valid loss: 0.00036, acc: 1.0000, auc: 1.000000.
Mon Feb  7 01:36:58 2022 Epoch 28, lr: 0.0002944, train loss: 0.03773, valid loss: 0.00101, acc: 1.0000, auc: 1.000000.
Mon Feb  7 01:59:34 2022 Epoch 29, lr: 0.0002940, train loss: 0.02609, valid loss: 0.00221, acc: 0.9990, auc: 1.000000.
Mon Feb  7 02:22:12 2022 Epoch 30, lr: 0.0002936, train loss: 0.02927, valid loss: 0.00840, acc: 0.9979, auc: 1.000000.
Mon Feb  7 02:44:49 2022 Epoch 31, lr: 0.0002931, train loss: 0.02454, valid loss: 0.00052, acc: 1.0000, auc: 1.000000.
Mon Feb  7 03:07:26 2022 Epoch 32, lr: 0.0002926, train loss: 0.02692, valid loss: 0.00009, acc: 1.0000, auc: 1.000000.
Mon Feb  7 03:30:04 2022 Epoch 33, lr: 0.0002921, train loss: 0.01805, valid loss: 0.00269, acc: 0.9985, auc: 1.000000.
Mon Feb  7 03:52:40 2022 Epoch 34, lr: 0.0002916, train loss: 0.03027, valid loss: 0.00044, acc: 1.0000, auc: 1.000000.
Mon Feb  7 04:15:17 2022 Epoch 35, lr: 0.0002911, train loss: 0.02216, valid loss: 0.00008, acc: 1.0000, auc: 1.000000.
Mon Feb  7 04:37:55 2022 Epoch 36, lr: 0.0002905, train loss: 0.01966, valid loss: 0.01096, acc: 0.9979, auc: 0.999834.
Mon Feb  7 05:00:32 2022 Epoch 37, lr: 0.0002900, train loss: 0.02973, valid loss: 0.00148, acc: 1.0000, auc: 1.000000.
Mon Feb  7 05:23:10 2022 Epoch 38, lr: 0.0002894, train loss: 0.01938, valid loss: 0.00301, acc: 0.9995, auc: 1.000000.
Mon Feb  7 05:45:48 2022 Epoch 39, lr: 0.0002888, train loss: 0.02057, valid loss: 0.00039, acc: 1.0000, auc: 1.000000.
Mon Feb  7 06:08:26 2022 Epoch 40, lr: 0.0002882, train loss: 0.02326, valid loss: 0.00043, acc: 1.0000, auc: 1.000000.
Mon Feb  7 06:31:04 2022 Epoch 41, lr: 0.0002876, train loss: 0.01515, valid loss: 0.00053, acc: 1.0000, auc: 1.000000.
Mon Feb  7 06:53:42 2022 Epoch 42, lr: 0.0002869, train loss: 0.02568, valid loss: 0.00134, acc: 0.9995, auc: 1.000000.
Mon Feb  7 07:16:20 2022 Epoch 43, lr: 0.0002863, train loss: 0.01552, valid loss: 0.00083, acc: 0.9995, auc: 1.000000.
Mon Feb  7 07:38:58 2022 Epoch 44, lr: 0.0002856, train loss: 0.02230, valid loss: 0.00032, acc: 1.0000, auc: 1.000000.
Mon Feb  7 08:01:37 2022 Epoch 45, lr: 0.0002849, train loss: 0.01827, valid loss: 0.00045, acc: 1.0000, auc: 1.000000.
Mon Feb  7 08:24:15 2022 Epoch 46, lr: 0.0002843, train loss: 0.01877, valid loss: 0.00337, acc: 0.9990, auc: 0.999999.
Mon Feb  7 08:46:53 2022 Epoch 47, lr: 0.0002835, train loss: 0.01297, valid loss: 0.00007, acc: 1.0000, auc: 1.000000.
Mon Feb  7 09:09:31 2022 Epoch 48, lr: 0.0002828, train loss: 0.01952, valid loss: 0.00010, acc: 1.0000, auc: 1.000000.
